City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Wind speed (mph),Cloud coverage,Datetime
Takoradze,GH,4.88,-1.76,77.16,87,12.21,100,1592781389
Launceston,AU,-41.45,147.17,46.99,100,2.55,90,1592781496
Zabul Province,AF,32.25,67.25,69.22,17,6.93,0,1592781332
San Luis,AR,-33.3,-66.34,50.86,42,16.28,92,1592781353
Pleasanton,US,37.66,-121.87,84.99,37,14.99,1,1592781382
Kawalu,ID,-7.38,108.21,71.67,92,1.61,98,1592781340
Saint-Augustin,CA,51.23,-58.65,56.43,66,14.7,95,1592781315
Akom,CM,2.67,12.71,66.99,97,2.71,45,1592781497
Alice Springs,AU,-23.7,133.88,37.4,59,4.7,0,1592781117
Beringovskiy,RU,63.05,179.32,53.47,46,6.58,0,1592781381
Oranjestad,AW,12.52,-70.03,86.0,74,21.92,20,1592781379
Colesberg,ZA,-30.72,25.1,40.8,67,1.12,0,1592781497
São João da Barra,BR,-21.64,-41.05,72.54,86,13.35,0,1592781376
Southbridge,US,42.08,-72.03,84.0,53,7.29,80,1592781497
Katsuura,JP,35.13,140.3,69.01,91,3.0,100,1592781332
Hofn,IS,64.25,-15.21,50.29,91,15.88,100,1592781327
Nagua,DO,19.38,-69.85,82.4,88,8.1,40,1592781305
Atherton,GB,53.52,-2.49,55.0,81,1.01,1,1592781303
Helong,CN,42.54,129.0,70.77,79,3.38,100,1592781498
Grindavik,IS,63.84,-22.43,57.2,62,20.8,99,1592781354
Acapulco de Juárez,MX,16.86,-99.89,89.6,66,10.29,20,1592781498
Sirajganj,BD,24.45,89.72,82.26,84,13.98,5,1592781498
Simao,CN,22.79,100.97,64.81,96,2.15,71,1592781498
Karatau,KZ,43.17,70.47,60.73,33,1.9,89,1592781498
Pemangkat,ID,1.17,108.97,76.84,89,6.67,87,1592781498
Soller,ES,39.77,2.72,72.0,78,3.36,23,1592781344
Luanda,AO,-8.84,13.23,71.6,94,4.7,75,1592781437
Mt. Pleasant,US,32.79,-79.86,87.01,70,10.29,1,1592781499
Am Timan,TD,11.03,20.28,78.12,63,7.52,76,1592781499
Norman Wells,CA,65.28,-126.83,53.6,100,10.29,90,1592781103
Anadyr,RU,64.75,177.48,75.0,38,4.47,51,1592781499
San Fernando del Valle de Catamarca,AR,-28.47,-65.79,60.93,69,4.79,17,1592781500
Città di Castello,IT,43.47,12.23,60.01,91,3.27,53,1592781500
Blackwater,AU,-23.58,148.88,63.86,45,8.19,49,1592781500
Kuytun,RU,54.34,101.5,59.43,73,5.66,50,1592781402
Luleå,SE,65.58,22.15,60.8,72,8.05,14,1592781409
Katobu,ID,-4.94,122.53,75.69,88,7.16,44,1592781500
Lorengau,PG,-2.02,147.27,83.91,71,3.09,7,1592781310
San Diego de la Unión,MX,21.47,-100.87,84.99,32,4.0,17,1592781500
Matagami,CA,49.75,-77.63,68.0,94,4.7,90,1592781500
Khani,GE,41.96,42.96,60.8,93,3.36,20,1592781501
Nānākuli,US,21.39,-158.15,86.0,61,9.17,75,1592781501
Baykit,RU,61.67,96.37,65.26,60,1.48,16,1592781375
Aplahoué,BJ,6.93,1.68,73.81,96,4.21,98,1592781501
Porto-Novo,BJ,6.5,2.6,80.6,88,11.41,40,1592781407
Arroyo de la Encomienda,ES,41.61,-4.8,64.99,82,6.93,0,1592781501
Vilhena,BR,-12.74,-60.15,77.0,65,5.82,33,1592781501
Rome,US,43.21,-75.46,87.8,38,5.82,1,1592781501
Tiksi,RU,71.69,128.87,43.09,78,12.97,3,1592781133
Kloulklubed,PW,7.04,134.26,78.8,88,9.17,75,1592781320
Khandyga,RU,62.67,135.6,68.05,46,2.53,39,1592781502
Broome,US,42.25,-75.83,82.99,54,5.82,40,1592781370
Saint-Pierre,RE,-21.34,55.48,66.2,77,6.93,48,1592781502
Sosnovo-Ozerskoye,RU,52.52,111.54,55.78,74,5.53,18,1592781502
Gizo Government Station,SB,-8.1,156.84,83.89,70,6.24,16,1592781502
West Plains,US,36.73,-91.85,82.99,61,4.7,20,1592781502
Westport,US,41.14,-73.36,82.99,67,8.81,68,1592781032
Nemuro,JP,43.32,145.57,51.76,87,11.43,75,1592781503
Coahuayana Viejo,MX,18.73,-103.68,87.8,58,11.41,40,1592781348
José Bonifácio,BR,-21.05,-49.69,71.49,53,4.36,22,1592781503
Ngunguru,NZ,-35.62,174.5,63.0,86,5.01,80,1592781503
Kruisfontein,ZA,-34.0,24.73,53.31,83,5.44,0,1592781357
Cayenne,GF,4.93,-52.33,80.6,88,3.36,8,1592781328
Alta Floresta,BR,-9.88,-56.09,75.22,64,4.03,11,1592781503
Kalevala,RU,65.2,31.17,54.25,68,6.42,44,1592781503
Mabaruma,GY,8.2,-59.78,77.38,88,5.59,100,1592781504
Mulegé,MX,26.88,-111.98,91.78,38,9.91,0,1592781504
Albury,AU,-36.08,146.92,45.0,100,1.92,90,1592781504
Sirsa,IN,29.53,75.02,93.92,33,3.0,19,1592781504
Kelo,TD,9.31,15.81,75.09,79,3.76,70,1592781504
Viedma,AR,-40.81,-63.0,47.53,53,4.63,35,1592781388
Roding,DE,49.2,12.52,60.01,80,1.01,0,1592781504
Onega,RU,63.91,38.14,46.99,70,4.54,32,1592781505
Nivala,FI,63.92,24.97,57.99,66,5.41,33,1592781505
Mahenge,TZ,-8.68,36.72,59.76,68,3.24,0,1592781505
Codajás,BR,-3.84,-62.06,80.1,74,2.35,47,1592781319
Kaeo,NZ,-35.1,173.78,63.0,3,10.0,33,1592781329
Ambilobe,MG,-13.2,49.05,71.64,86,3.51,0,1592781368
Sandy Bay,AU,-42.91,147.35,53.6,93,8.05,75,1592781505
Tamandaré,BR,-8.76,-35.1,76.03,75,9.51,0,1592781506
Garoowe,SO,8.41,48.48,84.78,40,17.94,81,1592781506
Saint Anthony,US,45.02,-93.22,73.4,73,5.82,90,1592781506
Rabo de Peixe,PT,37.8,-25.58,66.2,93,5.82,75,1592781506
Adrar,MR,20.5,-10.07,100.92,9,12.28,50,1592781206
Klaksvík,FO,62.23,-6.59,50.0,100,11.41,95,1592781338
Caravelas,BR,-17.71,-39.25,70.02,72,3.71,0,1592781401
Kalmunai,LK,7.42,81.82,82.45,70,8.39,100,1592781366
Inongo,CD,-1.95,18.27,73.38,68,4.29,99,1592781507
Marawi,PH,8.0,124.29,78.01,85,4.0,8,1592781076
Bud,US,39.45,-86.18,69.01,94,3.2,75,1592781389
Palauig,PH,15.44,119.9,83.46,72,3.36,77,1592781507
Sibolga,ID,1.74,98.78,76.33,82,2.86,99,1592781507
Portland,US,45.52,-122.68,75.99,43,8.05,40,1592781318
Mongoumba,CF,3.64,18.59,70.12,94,1.83,72,1592781507
Los Llanos de Aridane,ES,28.66,-17.92,71.6,73,13.87,75,1592781372
Obo,CF,5.4,26.49,67.41,97,1.36,3,1592781508
Sambava,MG,-14.27,50.17,72.79,90,13.38,71,1592781508
Abasolo,MX,20.45,-101.52,87.8,23,3.2,75,1592781341
Wilkie,CA,52.42,-108.7,66.0,54,1.99,8,1592781343
Auburn,US,47.31,-122.23,72.0,52,8.05,40,1592781508
Zhuhai,CN,22.28,113.57,87.01,89,11.41,20,1592781508
Bandarbeyla,SO,9.49,50.81,79.54,75,27.94,55,1592781508
Guerrero Negro,MX,27.98,-114.06,71.71,55,19.69,0,1592781306
Sortland,NO,68.69,15.42,60.01,72,6.93,31,1592781508
San Quintín,MX,30.48,-115.95,70.0,67,17.27,1,1592781360
Camiri,BO,-20.05,-63.52,72.37,78,8.32,43,1592781509
Talcahuano,CL,-36.72,-73.12,50.0,93,3.36,75,1592781509
Ahipara,NZ,-35.17,173.17,62.47,78,8.55,35,1592781211
Shimoda,JP,34.67,138.95,63.0,95,5.99,100,1592781339
Edd,ER,13.93,41.69,87.49,53,4.12,31,1592781509
Kahului,US,20.89,-156.47,87.8,43,18.34,40,1592781385
Archidona,ES,37.1,-4.39,75.99,41,2.82,0,1592781509
Marystown,CA,47.17,-55.15,47.97,78,6.4,79,1592781492
Mitchell,US,43.71,-98.03,78.8,47,9.17,1,1592781227
Teodoro Sampaio,BR,-22.53,-52.17,68.94,59,2.19,0,1592781434
Iralaya,HN,15.0,-83.23,80.6,88,10.29,75,1592781486
Tessalit,ML,20.2,1.01,94.5,9,12.3,0,1592781325
Kālpi,IN,26.12,79.73,87.78,51,2.17,3,1592781510
Mādārīpur,BD,23.18,90.21,79.95,90,8.03,11,1592781510
Pangody,RU,65.85,74.49,46.26,78,9.48,5,1592781346
Bereda,ES,43.27,-7.54,59.0,100,2.59,39,1592781511
Sharjah city,AE,25.36,55.4,89.6,70,6.93,0,1592781278
Chimichagua,CO,9.26,-73.81,82.51,89,2.86,98,1592781511
Dinguiraye,GN,11.3,-10.72,80.22,68,1.86,33,1592781351
Plettenberg Bay,ZA,-34.05,23.37,58.08,72,3.83,17,1592781511
Oyama,JP,36.3,139.8,72.0,88,5.82,75,1592781511
Tupik,RU,54.43,119.93,56.95,76,2.48,75,1592781511
Bulgan,MN,48.81,103.53,55.04,78,1.92,84,1592781511
Hambantota,LK,6.12,81.12,81.82,76,18.07,100,1592781351
Yangi Marg`ilon,UZ,40.43,71.72,73.4,31,6.93,31,1592781337
Massakory,TD,13.0,15.73,85.19,49,13.91,22,1592781512
Mocuba,MZ,-16.84,36.99,59.92,97,2.08,17,1592781512
Karīmganj,IN,24.87,92.35,77.36,92,2.15,72,1592781512
Ghanzi,BW,-21.57,21.78,45.43,57,3.69,0,1592781512
Muli,MV,2.92,73.57,83.16,76,10.4,72,1592781399
Tay Ninh,VN,11.3,106.1,78.19,89,3.83,83,1592781380
Tashla,RU,51.77,52.74,52.84,75,10.02,77,1592781512
Marsá Maţrūḩ,EG,31.35,27.25,72.09,78,11.83,0,1592781513
Antoing,BE,50.56,3.47,55.0,93,5.82,6,1592781513
Sundumbili,ZA,-29.13,31.4,62.6,72,5.82,75,1592781513
Waipawa,NZ,-41.41,175.52,51.8,93,12.75,100,1592781236
Mossamedes,AO,-15.2,12.15,68.67,61,0.63,0,1592781339
Kenitra,MA,34.26,-6.58,64.4,88,6.93,0,1592781513
Byron Bay,AU,-28.65,153.62,57.99,82,6.93,0,1592781513
Quthing,LS,-30.4,27.7,39.07,71,1.66,0,1592781513
Eureka,US,40.8,-124.16,69.01,100,7.0,26,1592781514
Fairfield,US,41.27,-73.32,82.99,51,4.7,1,1592781514
Yulara,AU,-25.24,130.99,33.8,74,6.93,0,1592781344
Esperance,AU,-33.87,121.9,41.0,80,13.87,0,1592781205
Puerto Baquerizo Moreno,EC,-0.9,-89.6,69.48,89,8.77,96,1592781514
Castro,BR,-24.79,-50.01,58.51,84,2.86,0,1592781325
Biloela,AU,-24.42,150.5,62.51,43,9.69,58,1592781514
Meziměstí,CZ,50.62,16.24,59.0,91,4.72,83,1592781514
Macomb,US,40.46,-90.67,82.0,73,3.36,40,1592781514
San Vicente,AR,-26.62,-54.13,63.82,76,2.66,0,1592781346
Épinal,FR,48.18,6.45,62.6,77,9.17,97,1592781515
Balkhash,KZ,46.84,74.98,62.85,40,13.47,1,1592781515
Kununurra,AU,-15.77,128.73,71.6,37,10.29,0,1592781338
Codrington,AU,-38.27,141.97,47.52,91,3.4,71,1592781340
Dhangadhi,NP,28.71,80.6,81.03,65,2.64,4,1592781515
Jieshi,CN,22.81,115.83,83.68,84,14.12,100,1592781515
Amahai,ID,-3.33,128.92,82.99,93,4.7,70,1592781353
San Juan de la Maguana,DO,18.81,-71.23,79.3,74,5.44,78,1592781516
Bintulu,MY,3.17,113.03,77.0,94,3.36,75,1592781516
Mweka,CD,-4.85,21.57,67.62,50,1.16,0,1592781516
Necochea,AR,-38.55,-58.74,50.0,81,1.99,12,1592781516
Shirokiy,RU,49.76,129.52,55.51,96,4.74,100,1592781516
Marquette,US,46.53,-87.63,66.99,83,3.36,54,1592781516
Brørup,DK,55.48,9.02,60.8,87,3.36,92,1592781516
Kubrat,BG,43.8,26.5,58.68,93,11.18,1,1592781517
Bundaberg,AU,-24.85,152.35,69.01,77,8.05,75,1592781349
Skeldon,GY,5.88,-57.13,77.43,89,6.11,98,1592781517
Vostok,RU,46.49,135.88,49.82,98,3.83,92,1592781352
Cururupu,BR,-1.83,-44.87,75.45,89,3.13,35,1592781348
Iskateley,RU,67.68,53.15,41.34,81,8.37,100,1592781517
Balsas,BR,-7.53,-46.04,77.05,54,10.0,40,1592781517
Concarneau,FR,47.88,-3.92,53.6,93,2.24,0,1592781517
Vestmannaeyjar,IS,63.44,-20.27,50.0,93,28.86,90,1592781518
Mariehamn,AX,60.1,19.93,50.0,93,3.36,0,1592781518
Pokhara,NP,28.23,83.98,70.81,87,1.97,100,1592781303
Taiyuan,CN,37.87,112.56,71.6,64,4.47,76,1592781518
Chernyshevskiy,RU,63.01,112.47,72.19,51,2.8,67,1592781357
Tura,IN,25.52,90.22,73.69,96,5.12,20,1592781365
Richards Bay,ZA,-28.78,32.04,63.0,71,7.83,0,1592781518
Rognan,NO,67.1,15.39,64.0,73,1.01,0,1592781384
Wawa,NG,9.9,4.42,77.54,85,7.09,94,1592781518
Pithora,IN,21.27,82.52,77.7,83,10.85,87,1592781519
Merrill,US,45.18,-89.68,79.0,57,6.93,40,1592781519
Poum,NC,-20.23,164.02,72.86,70,7.78,33,1592781344
Novoorsk,RU,51.38,58.98,57.2,87,6.71,2,1592781519
Mormugao,IN,15.4,73.8,77.0,94,5.82,75,1592781519
Dingle,PH,11.0,122.67,80.94,83,3.85,99,1592781389
Raja,SS,8.46,25.68,70.3,93,3.8,71,1592781519
Yar-Sale,RU,66.83,70.83,41.88,85,13.13,100,1592781519
Saint-Paul,RE,-21.01,55.27,68.0,82,17.22,90,1592781520
Chengde,CN,40.97,117.94,73.04,49,3.71,99,1592781367
Goba,ET,7.02,39.98,51.67,77,4.47,33,1592781520
Raduzhny,RU,62.1,77.47,50.52,92,9.13,96,1592781520
Vanavara,RU,60.34,102.28,67.71,65,4.79,22,1592781520
Robertsport,LR,6.75,-11.37,79.0,85,8.79,99,1592781520
Chimbote,PE,-9.09,-78.58,64.36,81,8.97,40,1592781520
Ocumare del Tuy,VE,10.12,-66.78,82.4,74,4.7,40,1592781520
Ostrovnoy,RU,68.05,39.51,54.86,70,8.28,99,1592781105
Lingyuan,CN,41.24,119.4,75.4,45,6.38,97,1592781521
Rafai,CF,4.95,23.92,68.45,95,3.15,0,1592781521
Diffa,NE,13.32,12.61,83.12,53,18.45,10,1592781521
Olafsvik,IS,64.89,-23.71,53.44,76,23.0,18,1592781323
Phalombe,MW,-15.81,35.65,55.35,84,2.15,0,1592781521
Hīt,IQ,33.64,42.83,81.97,27,9.62,0,1592781521
Gomel,BY,52.43,30.98,69.8,83,13.42,66,1592781521
Verkhnyaya Inta,RU,65.98,60.31,38.25,78,9.51,54,1592781522
Uchiza,PE,-8.46,-76.46,75.42,70,1.3,15,1592781522
Baley,RU,51.6,116.63,59.34,58,2.84,53,1592781522
Mugur-Aksy,RU,50.35,90.5,33.21,92,8.03,100,1592781522
Taoudenni,ML,22.68,-3.98,104.38,9,16.73,30,1592781522
Padang,ID,-0.95,100.35,77.63,79,5.93,97,1592781316
Borogontsy,RU,62.67,131.17,67.71,41,4.7,7,1592781522
Lavumisa,SZ,-27.31,31.89,46.4,93,2.24,0,1592781523
Jaicós,BR,-7.36,-41.14,73.63,57,5.5,7,1592781523
Bobcaygeon,CA,44.55,-78.54,80.6,61,3.36,1,1592781523
Pithorāgarh,IN,29.58,80.22,63.18,96,1.68,15,1592781523
Batagay,RU,67.63,134.63,83.89,28,4.52,0,1592781217
Ürümqi,CN,43.8,87.6,53.6,58,6.71,3,1592781234
Xingcheng,CN,40.62,120.72,73.87,71,13.24,84,1592781523
Slave Lake,CA,55.28,-114.77,64.4,72,4.7,75,1592781524
Asheville,US,35.6,-82.55,72.0,91,3.38,74,1592781495
Geraldton,AU,-28.77,114.6,60.8,31,23.04,75,1592781343
Qasigiannguit,GL,68.82,-51.19,46.4,52,4.7,13,1592781524
Selma,US,36.57,-119.61,98.6,26,8.77,1,1592781524
Piaçabuçu,BR,-10.41,-36.43,74.62,82,7.67,0,1592781524
Kombissiri,BF,12.07,-1.34,87.8,58,10.29,92,1592781524
Mongo,TD,12.18,18.69,83.28,57,13.85,87,1592781335
Coyhaique,CL,-45.58,-72.07,38.88,87,2.39,100,1592781378
Sadasivpet,IN,17.62,77.95,78.8,94,9.17,75,1592781525
Buraidah,SA,26.33,43.98,84.2,26,11.41,0,1592781369
Sørland,NO,67.67,12.69,62.02,63,10.42,42,1592781095
Monrovia,LR,6.3,-10.8,78.13,87,8.12,100,1592781525
Shache,CN,38.42,77.24,70.84,19,6.51,0,1592781525
Sioux Lookout,CA,50.1,-91.92,62.6,82,4.7,75,1592781525
Ambon City,ID,-3.7,128.18,80.01,14,13.89,44,1592781526
Wahiawā,US,21.5,-158.02,86.0,61,9.17,75,1592781327
The Valley,AI,18.22,-63.06,86.0,74,13.87,40,1592781359
Urayasu,JP,35.67,139.89,69.01,94,20.8,75,1592781526
Cauayan,PH,9.97,122.62,81.61,79,3.67,21,1592781526
Port Hardy,CA,50.7,-127.42,57.2,76,4.7,75,1592781349
Panabá,MX,21.28,-88.27,85.28,79,6.4,7,1592781526
Lincoln,US,40.8,-96.67,82.4,42,17.22,1,1592781526
Libreville,GA,0.39,9.45,78.8,83,6.93,20,1592781527
Egvekinot,RU,66.32,-179.17,62.29,40,4.12,23,1592781396
Luwuk,ID,-0.95,122.79,78.6,76,6.73,70,1592781384
Altay,CN,47.87,88.12,45.91,55,1.92,69,1592781343
Isla Mujeres,MX,21.23,-86.73,86.0,74,11.41,75,1592781252
Boone,US,39.03,-92.33,86.0,56,5.01,55,1592781292
Haines Junction,CA,60.75,-137.51,56.53,38,10.02,100,1592781348
Farafangana,MG,-22.82,47.83,66.24,91,3.96,86,1592781527
Cartagena del Chairá,CO,1.33,-74.84,75.63,86,1.95,20,1592781527
Port-Gentil,GA,-0.72,8.78,77.0,83,11.41,75,1592781122
Kangaatsiaq,GL,68.31,-53.46,42.66,69,8.08,8,1592781528
Vila Franca do Campo,PT,37.72,-25.43,66.2,93,5.82,75,1592781404
Quzhou,CN,28.96,118.87,76.15,91,2.19,100,1592781528
Makkah al Mukarramah,SA,21.43,39.83,81.73,45,3.53,75,1592781528
Okhotsk,RU,59.38,143.3,52.84,74,8.21,100,1592781316
Grand-Santi,GF,4.25,-54.38,74.59,95,3.36,44,1592781528
Havelock,US,34.88,-76.9,81.0,82,7.56,34,1592781528
Nipawin,CA,53.37,-104.0,66.2,42,5.82,75,1592781402
Straumen,NO,63.87,11.3,66.2,63,1.12,31,1592781529
At-Bashi,KG,41.17,75.81,49.1,43,1.41,0,1592781529
Åmot,NO,59.57,7.99,54.0,93,1.63,97,1592781529
Ukiah,US,39.15,-123.21,91.4,29,8.05,1,1592781354
Ozernovskiy,RU,51.5,156.52,49.33,73,4.61,40,1592781529
Shelburne,CA,44.08,-80.2,82.0,88,2.24,40,1592781364
Kuruman,ZA,-27.45,23.43,43.3,62,3.11,3,1592781529
Port Hedland,AU,-20.32,118.57,59.0,41,8.05,0,1592781398
Kaduqli,SD,11.02,29.72,81.23,63,7.05,89,1592781530
San Patricio,MX,19.22,-104.7,89.6,66,9.17,75,1592781328
Santa Cruz,MA,30.42,-9.6,69.8,83,5.82,20,1592781197
Iwaki,JP,37.05,140.88,68.0,88,4.83,100,1592781530
Wonthaggi,AU,-38.6,145.59,48.0,96,11.03,95,1592781530
Kidal,ML,18.44,1.41,92.93,10,11.05,4,1592781530
Shitanjing,CN,39.23,106.34,59.72,73,9.71,100,1592781530
Dwārka,IN,22.24,68.97,85.69,74,13.53,87,1592781530
